noise_mean,noise_std,noise_min,noise_25%,noise_50%,noise_75%,noise_max,noise_mad,max_magnitude_mean,max_magnitude_std,max_magnitude_min,max_magnitude_25%,max_magnitude_50%,max_magnitude_75%,max_magnitude_max,max_magnitude_mad,total_gain_db_mean,total_gain_db_std,total_gain_db_min,total_gain_db_25%,total_gain_db_50%,total_gain_db_75%,total_gain_db_max,total_gain_db_mad,base_pwr_db_mean,base_pwr_db_std,base_pwr_db_min,base_pwr_db_25%,base_pwr_db_50%,base_pwr_db_75%,base_pwr_db_max,base_pwr_db_mad,rssi_mean,rssi_std,rssi_min,rssi_25%,rssi_50%,rssi_75%,rssi_max,rssi_mad,relpwr_db_mean,relpwr_db_std,relpwr_db_min,relpwr_db_25%,relpwr_db_50%,relpwr_db_75%,relpwr_db_max,relpwr_db_mad,avgpwr_db_mean,avgpwr_db_std,avgpwr_db_min,avgpwr_db_25%,avgpwr_db_50%,avgpwr_db_75%,avgpwr_db_max,avgpwr_db_mad,bin_label,label
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,833.4716666666667,8.838706642607798,824.0,830.0,832.0,834.0,924.0,4.469327777777824,75.35666666666667,3.8666575518477218,38.0,75.0,76.0,77.0,81.0,1.9622777777777776,385.1533333333333,3.841147342970103,380.0,384.0,384.0,385.25,423.0,1.9099999999999804,10.231666666666667,2.394623336510737,6.0,9.0,10.0,11.0,34.0,1.1688888888888926,13.148333333333333,7.7571441930826825,0.0,11.0,12.0,13.0,63.0,2.5920555555555413,187.18666666666667,2.4695451627929383,184.0,186.0,187.0,188.0,214.0,1.1185777777777837,0,1
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,833.575,7.084350478543392,823.0,830.0,832.0,834.0,878.0,4.143249999999998,75.48666666666666,2.6276726066556604,59.0,75.0,76.0,77.0,79.0,1.7156222222222193,385.04833333333335,2.692225352963752,381.0,384.0,384.0,386.0,401.0,1.728844444444467,11.985,20.86193044526731,7.0,9.0,10.0,11.0,239.0,3.86299999999998,13.346666666666666,8.10489385471618,0.0,11.0,12.0,13.0,63.0,2.914444444444421,187.07166666666666,1.2553181249708636,185.0,186.0,187.0,188.0,201.0,0.777727777777774,0,1
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,833.15,4.658361717365482,826.0,831.0,833.0,835.0,893.0,2.449500000000005,75.44833333333334,1.99180220292617,51.0,75.0,75.5,76.0,80.0,1.2116666666666687,385.0566666666667,2.0216166250107164,381.0,384.0,385.0,386.0,409.0,1.1796444444444372,10.658333333333333,1.5293229231354628,7.0,10.0,11.0,11.0,27.0,1.0831388888888884,12.008333333333333,2.9602142946086767,0.0,11.0,12.0,13.0,55.0,1.1044722222222199,187.65666666666667,1.2401689080213696,185.0,187.0,188.0,188.0,202.0,0.7577666666666679,0,1
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,836.435,7.702466378625502,828.0,833.0,835.0,837.0,888.0,4.002333333333311,74.04666666666667,2.878941251009959,54.0,74.0,75.0,75.0,78.0,1.4384222222222247,386.5883333333333,2.840007034407026,382.0,386.0,386.0,387.0,406.0,1.420927777777777,11.41,1.3069353976214466,8.0,11.0,11.0,12.0,18.0,0.9967999999999997,13.886666666666667,9.023461659627085,6.0,11.0,12.0,13.0,63.0,3.5770888888889174,188.56333333333333,1.017044503168166,186.0,188.0,188.0,189.0,194.0,0.7831888888888888,0,1
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,836.385,4.476998346025741,829.0,834.0,836.0,838.0,896.0,2.536083333333332,73.96666666666667,2.1787152688208797,45.0,73.0,74.0,75.0,78.0,1.168666666666661,386.5283333333333,2.1572250513315443,383.0,385.0,386.0,387.0,415.0,1.2419833333333314,11.978333333333333,1.3884320153772112,8.0,11.0,12.0,13.0,24.0,0.9867944444444413,11.493333333333334,3.593254051694965,1.0,11.0,11.0,12.0,58.0,1.5565333333333333,189.19,1.1616722733992806,186.0,189.0,189.0,190.0,200.0,0.7823666666666659,0,1
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,848.255,6.046009597529796,830.0,844.0,849.0,852.0,863.0,4.857666666666661,69.13,1.9949267876658905,63.0,68.0,69.0,71.0,77.0,1.6409333333333325,391.5316666666667,1.9309440170247514,383.0,390.0,392.0,393.0,397.0,1.6070666666666726,15.706666666666667,3.18709138160173,9.0,13.0,16.0,18.0,24.0,2.8001333333333314,12.441666666666666,3.8468073906453144,0.0,9.0,13.0,16.0,19.0,3.30555555555556,192.56166666666667,2.450075237621405,187.0,190.0,193.0,194.0,197.0,2.1372333333333273,0,1
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,847.7833333333333,7.004390863916237,833.0,842.0,847.0,853.0,880.0,5.972611111111111,68.79833333333333,2.538057021548162,58.0,67.0,69.0,71.0,75.0,2.072422222222219,391.695,2.563772588030873,386.0,390.0,392.0,393.0,402.0,2.10895,16.471666666666668,2.987318308005437,10.0,14.0,16.0,19.0,27.0,2.4900277777777746,12.016666666666667,3.2599746338344877,0.0,10.0,12.0,15.0,21.0,2.5856666666666643,193.495,2.6435371786095945,189.0,191.0,193.0,196.0,208.0,2.1593833333333277,0,1
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,841.9883333333333,3.451287130958938,833.0,839.0,842.0,845.0,851.0,2.8117055555555557,70.955,0.21537326374899968,69.0,71.0,71.0,71.0,71.0,0.08610000000000156,389.11833333333334,0.3668171391554434,389.0,389.0,389.0,389.0,391.0,0.21221111111111593,13.593333333333334,1.2290130229469403,10.0,13.0,14.0,14.0,17.0,1.0136666666666665,12.176666666666666,1.9291600035821914,1.0,12.0,12.0,13.0,16.0,1.2272666666666645,190.91666666666666,0.6509699111820249,189.0,191.0,191.0,191.0,192.0,0.45388888888889484,0,1
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,872.0883333333334,4.571874226776662,862.0,869.0,871.0,874.0,888.0,3.5233611111111136,55.781666666666666,2.0891636836424863,51.0,54.0,56.0,57.0,60.0,1.755755555555556,404.7783333333333,2.1849073792685507,400.0,403.0,404.0,406.0,410.0,1.810599999999991,28.705,1.627592320351988,25.0,28.0,29.0,30.0,34.0,1.2728666666666675,12.283333333333333,1.191114384943324,9.0,12.0,12.0,13.0,16.0,0.9605555555555548,206.22833333333332,0.8410565869942617,200.0,206.0,206.0,207.0,208.0,0.6571222222222195,0,1
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,881.315,9.01301831604018,862.0,874.75,882.0,888.0,900.0,7.599249999999971,50.906666666666666,4.5076031731027335,41.0,48.25,49.0,55.25,62.0,3.834088888888874,409.49666666666667,4.623377003202884,399.0,405.0,411.0,412.5,419.0,3.9819444444444327,26.948333333333334,1.4964612310098158,22.0,26.0,27.0,28.0,32.0,1.1329722222222192,11.306666666666667,3.176913100842714,1.0,11.0,12.0,13.0,16.0,2.2613777777777875,205.58333333333334,0.883755582030556,198.0,205.0,206.0,206.0,209.0,0.7147222222222223,0,1
